ueId,x_m,y_m,servingSector,servingSite,bestRSRP_dBm,bestSINR_dB,isAttached
33,107.928772868307,934.525812063195,4,2,-90.746914212165,11.8825464437261,1
34,635.721910008873,73.0683084510024,8,3,-94.533901369687,2.0473565808582,1
35,912.28808788171,754.448785804728,0,0,-106.493406527531,-4.04648827183365,0
36,974.782620248911,-376.963216412748,10,4,-93.34586305769,2.35124819838419,1
37,-950.829237248686,674.669312163258,21,7,-95.0583998919616,2.66075594962007,1
38,-702.462007321686,-247.631373831609,16,6,-79.1370661054235,16.6370055767635,1
39,-403.59174303988,321.960305635887,20,7,-91.3277904362388,2.27702071760361,1
40,-257.222257822289,943.561121663661,6,2,-96.4733084829698,3.85873548477371,1
41,759.58089862411,677.409329307539,7,3,-89.769770542732,14.5102470878083,1
42,-330.985767689538,-207.644686576953,16,6,-88.7395197580618,0.625990012082271,1
43,-506.172728565294,-198.579127073427,16,6,-91.4718352575285,6.63242260078748,1
44,98.6535710413373,599.912101822917,5,2,-80.0977780985683,15.5248137018251,1
45,-829.680496671786,-659.606167960646,17,6,-92.4845375920061,5.66025394629314,1
46,-983.043295626529,-367.089326035388,18,6,-88.6908274178878,15.5604398428634,1
47,1125.00097048688,-537.236582224991,11,4,-98.8467521934713,5.11318226426491,1
48,629.048772199882,-514.336391070727,12,4,-71.1528270640016,10.3724074248621,1
49,-696.147555391559,-672.659254953756,17,6,-83.5745083829288,15.2709481632353,1
50,529.143969426206,-182.377941701982,12,4,-93.8129728617996,-1.49988572764063,1
51,626.797271285996,-292.083390737654,10,4,-86.6299300513286,-1.28487013932777,1
52,-984.212440631575,453.622084753027,21,7,-77.6020997955605,21.9749501004787,1
53,-327.029091921375,-711.428844576896,15,5,-81.9360783111249,15.5287613672295,1
54,838.986786848864,723.041397847032,7,3,-88.2169673341703,15.6424115606682,1
55,284.892655590033,-1036.76623612495,17,6,-99.1409787280542,0.753435894981093,1
56,-390.72702890796,-208.114365837888,16,6,-92.0187218137426,6.02854550682327,1
57,-403.931421430939,-82.313487880007,20,7,-87.8976564951082,5.3405093976216,1
58,530.528042636812,286.371772716397,9,3,-93.0939742359548,0.285192536887423,1
59,317.840297488425,-840.762817346684,12,4,-96.1109816888817,-0.387294860595987,1
60,-64.2001947641174,-677.547917185227,13,5,-72.285283130741,12.1985807173153,1
61,492.723411829742,377.868364467287,9,3,-69.2785935884956,20.7766733855616,1
62,602.569941249409,272.043020996068,8,3,-80.5450770846356,3.35050520713573,1
63,141.58709456393,32.0393870335029,2,1,-85.4612423091534,0.297615689984456,1
64,626.096774227257,-680.077759396182,11,4,-86.6798513585573,7.18442225684842,1
65,-14.3358952287515,-816.789579453439,15,5,-66.1796909793062,18.3976813879607,1
66,52.52647626001,-705.792075772377,13,5,-59.9360885142615,38.4494881595986,1
67,-167.423725179971,-791.765547981719,15,5,-77.0892115289313,23.058231564759,1
68,-906.006080690336,-378.444312485168,18,6,-75.9127137984902,26.8739483505076,1
69,-428.949075759606,969.086482278367,6,2,-90.9123520142614,7.64621695392419,1
70,19.8034392652951,1080.10474498741,4,2,-78.5461682892495,24.3841269392061,1
71,-579.285382937955,-823.437542050999,17,6,-79.0645669384247,13.8196633760278,1
72,-207.069220753883,-261.996235008773,3,1,-84.5381688268655,2.44474152901614,1
73,590.476468473917,652.070401267765,9,3,-91.2189717103778,8.43305745662928,1
74,-626.638967046427,494.96591366794,19,7,-80.9321336699935,8.45503177289071,1
75,-485.800299278797,797.500961019736,19,7,-88.4752386426302,3.51642258633465,1
76,-782.782103953324,-695.807030326031,17,6,-91.3366344716596,11.7666312993482,1
77,992.859408544698,-697.380040811817,11,4,-98.8052818439947,6.58732289296352,1
78,711.942958373444,93.3630308458728,10,4,-95.2713859949317,-0.502514910336547,1
79,308.242723841983,234.679903685124,5,2,-89.2300529172316,0.157714250432003,1
80,858.29685096211,202.223334607407,8,3,-87.4635906830878,2.63422885547217,1
81,907.046833825679,-591.876457873268,11,4,-76.6262583401102,26.6932569461779,1
82,90.9041853643969,-935.501006517961,14,5,-75.9473610212893,20.3035417183088,1
83,-420.521176253871,914.397825717498,6,2,-98.8996925766444,0.865321646267739,1
84,-901.014035021842,781.54996266297,19,7,-95.3850096183299,9.50283527374046,1
85,-628.633021688153,391.996972305881,21,7,-82.8226228241485,0.430668430673032,1
86,-168.424745812557,128.418454957599,3,1,-92.1696801027554,5.35758514144338,1
87,833.504096620805,-231.162106750378,10,4,-84.2354927460874,12.5371871826592,1
88,-1139.23642215935,-321.470491844525,18,6,-93.8353313114328,14.1992838605469,1
89,24.8327176619196,-606.638674579136,13,5,-81.6750480145402,10.4401064663832,1
90,-190.830138631128,564.151576510786,5,2,-87.8809442118652,2.75472762672589,1
91,-642.097701560763,-10.4140603943235,16,6,-87.7461098253881,2.29633468703716,1
92,-375.206389883393,-706.55719016528,17,6,-94.2134208071952,0.616225326023566,1
93,1023.38717530322,462.741329422485,7,3,-83.4690770011033,10.9344055162778,1
