row_id,realization_id,scenario_name,site_id,sector_id,impaired_sector_id,attached_ue_count,active_ue_count,offered_traffic_Mbps,served_traffic_Mbps,unserved_traffic_Mbps,sector_load_ratio,mean_RSRP_dBm,median_RSRP_dBm,mean_SINR_dB,median_SINR_dB,mean_UE_throughput_Mbps,median_UE_throughput_Mbps,qos_satisfaction_ratio,boundary_ue_ratio,handover_risk_score,attach_rate_sector,cod_label
170,16020,degraded_sector,7,20,20,7,1,7.10990619055215,7.10990619055215,0,0.266682364563451,-92.1619381618101,-90.4245870975318,3.92679510547642,2.76542291506857,7.10990619055215,7.10990619055215,1,0.285714285714286,0.285714285714286,1,degraded
171,16021,degraded_sector,7,21,21,16,7,33.6002489894263,33.6002489894263,0,0.826879773377407,-95.1882526461268,-97.0589238703742,7.56344792407955,7.30059045723962,4.80003556991805,4.69065522116885,1,0.1875,0.1875,0.888888888888889,degraded
172,16022,degraded_sector,1,1,1,9,0,0,0,0,0,-94.6956969866261,-94.989077064076,1.76494507700131,2.13417425977976,0,0,1,0.111111111111111,0.111111111111111,0.9,degraded
173,16023,degraded_sector,1,2,2,5,1,6.17920714053725,6.17920714053725,0,0.228461588324163,-91.285131657529,-92.9330524015966,4.06315016425895,5.37453140443575,6.17920714053725,6.17920714053725,1,0.2,0.2,0.625,degraded
174,16024,degraded_sector,1,3,3,6,2,4.12549162522444,4.12549162522444,0,0.18883356150086,-95.1331110325417,-95.755174407077,2.24404767650496,1.2240700124387,2.06274581261222,2.06274581261222,1,0.333333333333333,0.333333333333333,1,degraded
175,16025,degraded_sector,2,4,4,15,0,0,0,0,0,-93.0357636278037,-91.9213497872178,7.28743503114134,7.54551981804412,0,0,1,0.2,0.2,0.833333333333333,degraded
176,16026,degraded_sector,2,5,5,9,0,0,0,0,0,-92.6279966239137,-96.4123980280211,3.76436394591273,0.469450893855903,0,0,1,0.555555555555556,0.555555555555556,1,degraded
177,16027,degraded_sector,2,6,6,7,1,7.63125401382765,7.63125401382765,0,0.284143037346064,-94.435107092566,-95.9793439345824,3.96020061432409,3.59394026279239,7.63125401382765,7.63125401382765,1,0.285714285714286,0.285714285714286,1,degraded
178,16028,degraded_sector,3,7,7,13,1,2.16733832330907,2.16733832330907,0,0.0442420585441275,-90.3253714996099,-91.2345256397465,10.0973504156212,8.45995675468066,2.16733832330907,2.16733832330907,1,0.0769230769230769,0.0769230769230769,0.8125,degraded
179,16029,degraded_sector,3,8,8,8,1,3.83760238619154,3.83760238619154,0,0.101805485119552,-93.8768937746241,-95.4141311090202,6.57925916134148,2.76563758010597,3.83760238619154,3.83760238619154,1,0.25,0.25,1,degraded
180,16030,degraded_sector,3,9,9,14,3,4.72033657375995,4.72033657375995,0,0.200781936905752,-93.6137038512134,-95.7404321229519,2.76709331642366,1.20285412565604,1.57344552458665,1.21715626861496,1,0.357142857142857,0.357142857142857,1,degraded
181,16031,degraded_sector,4,10,10,9,2,8.0932253385608,8.0932253385608,0,0.320353140098074,-95.5024100422104,-95.2089648102631,3.70869371779174,1.88191021385973,4.0466126692804,4.0466126692804,1,0.222222222222222,0.222222222222222,1,degraded
