scenario_name,realization_id,coordinator_group_id,module_name,ai_action_id,oracle_action_id,oracle_kpi_comparison_status,oracle_implementable_flag,baseline_qos,ai_qos,oracle_qos,ai_delta_qos,oracle_delta_qos,qos_gap_to_oracle,baseline_attach,ai_attach,oracle_attach,attach_gap_to_oracle,baseline_sinr,ai_sinr,oracle_sinr,sinr_gap_to_oracle,baseline_load,ai_load,oracle_load,load_gap_to_oracle,reward_regret_if_available,physical_kpi_gap_note,ai_delta_attach,ai_delta_sinr,ai_delta_load
mixed_conflict,1,16,LB/MLB,8997,8997,comparable_oracle_action,1,0.453333333333333,0.46,0.453333333333333,0.00666666666666671,3.33066907387547e-16,-0.00666666666666671,0.97,0.962,0.968,0.00600000000000001,8.41685268626481,8.47205458626706,8.43450811370429,-0.0375464725627701,1.25043717430527,1.23171274433354,1.23196066906249,0.000247924728954407,NaN,,-0.00800000000000001,0.0552019000022561,-0.0187244299717233
mixed_conflict,1,16,LB/MLB,9005,9005,comparable_oracle_action,1,0.453333333333333,0.46,0.453333333333333,0.00666666666666671,3.33066907387547e-16,-0.00666666666666671,0.97,0.962,0.968,0.00600000000000001,8.41685268626481,8.47205458626706,8.43303054253256,-0.0390240437345035,1.25043717430527,1.23171274433354,1.25108271285301,0.0193699685194721,NaN,,-0.00800000000000001,0.0552019000022561,-0.0187244299717233
mixed_conflict,1,16,LB/MLB,9031,9031,comparable_oracle_action,1,0.453333333333333,0.46,0.453333333333333,0.00666666666666671,3.33066907387547e-16,-0.00666666666666671,0.97,0.962,0.97,0.00800000000000001,8.41685268626481,8.47205458626706,8.41122908030028,-0.0608255059667826,1.25043717430527,1.23171274433354,1.25045528836617,0.0187425440326292,NaN,,-0.00800000000000001,0.0552019000022561,-0.0187244299717233
mixed_conflict,1,16,LB/MLB,9048,9048,comparable_oracle_action,1,0.453333333333333,0.46,0.453333333333333,0.00666666666666671,3.33066907387547e-16,-0.00666666666666671,0.97,0.962,0.966,0.004,8.41685268626481,8.47205458626706,8.44971834418051,-0.0223362420865545,1.25043717430527,1.23171274433354,1.24851748781932,0.0168047434857768,NaN,,-0.00800000000000001,0.0552019000022561,-0.0187244299717233
mixed_conflict,1,16,LB/MLB,9088,9088,comparable_oracle_action,1,0.453333333333333,0.46,0.453333333333333,0.00666666666666671,3.33066907387547e-16,-0.00666666666666671,0.97,0.962,0.968,0.00600000000000001,8.41685268626481,8.47205458626706,8.42890723156006,-0.0431473547069974,1.25043717430527,1.23171274433354,1.2480392859769,0.0163265416433638,NaN,,-0.00800000000000001,0.0552019000022561,-0.0187244299717233
mixed_conflict,1,16,LB/MLB,9097,9097,comparable_oracle_action,1,0.453333333333333,0.46,0.453333333333333,0.00666666666666671,3.33066907387547e-16,-0.00666666666666671,0.97,0.962,0.966,0.004,8.41685268626481,8.47205458626706,8.43642229941074,-0.0356322868563161,1.25043717430527,1.23171274433354,1.24719740494951,0.0154846606159695,NaN,,-0.00800000000000001,0.0552019000022561,-0.0187244299717233
overload,1,17,LB/MLB,9227,9227,comparable_oracle_action,1,0.346666666666667,0.333333333333333,0.346666666666667,-0.0133333333333334,-3.33066907387547e-16,0.0133333333333337,0.974,0.964,0.974,0.01,8.29285972359662,8.33446315875276,8.29214183259738,-0.042321326155383,1.25567136463091,1.22319458849971,1.25399774757198,0.0308031590722655,NaN,,-0.01,0.0416034351561407,-0.0324767761311968
overload,1,17,LB/MLB,9236,9236,comparable_oracle_action,1,0.346666666666667,0.333333333333333,0.346666666666667,-0.0133333333333334,-3.33066907387547e-16,0.0133333333333337,0.974,0.964,0.97,0.00600000000000001,8.29285972359662,8.33446315875276,8.31720592515133,-0.0172572336014305,1.25567136463091,1.22319458849971,1.25742850394,0.0342339154402871,NaN,,-0.01,0.0416034351561407,-0.0324767761311968
overload,1,17,LB/MLB,9314,9314,comparable_oracle_action,1,0.346666666666667,0.333333333333333,0.34,-0.0133333333333334,-0.00666666666666699,0.00666666666666704,0.974,0.964,0.972,0.00800000000000001,8.29285972359662,8.33446315875276,8.27869686936874,-0.0557662893840245,1.25567136463091,1.22319458849971,1.23833570087326,0.0151411123735457,NaN,,-0.01,0.0416034351561407,-0.0324767761311968
overload,1,17,LB/MLB,9366,9366,comparable_oracle_action,1,0.346666666666667,0.333333333333333,0.34,-0.0133333333333334,-0.00666666666666699,0.00666666666666704,0.974,0.964,0.968,0.004,8.29285972359662,8.33446315875276,8.34512392051348,0.0106607617607164,1.25567136463091,1.22319458849971,1.24208832810051,0.0188937396008029,NaN,,-0.01,0.0416034351561407,-0.0324767761311968
