module_name,oracle_group_id,scenario_name,realization_id,source_sector_id,top1_predicted_action_id,oracle_reward,predicted_selected_true_reward,regret
ES,1493,low_load_energy_saving_candidate,15,3,21122,0,-0.0814035169965422,0.0814035169965422
ES,1494,low_load_energy_saving_candidate,15,4,21125,0,0.0128037392732393,-0.0128037392732393
ES,1495,low_load_energy_saving_candidate,15,5,21128,0,-0.0441939266506188,0.0441939266506188
ES,1496,low_load_energy_saving_candidate,15,6,21131,0,-0.0425064503133116,0.0425064503133116
ES,1497,low_load_energy_saving_candidate,15,7,21134,0.25,0.25,0
ES,1498,low_load_energy_saving_candidate,15,8,21137,0,-0.0407728298679302,0.0407728298679302
ES,1499,low_load_energy_saving_candidate,15,9,21140,0,-0.168209999481508,0.168209999481508
ES,1500,low_load_energy_saving_candidate,15,10,21143,0.25,0.25,0
ES,1501,low_load_energy_saving_candidate,15,11,21146,0,-0.0807931673082495,0.0807931673082495
ES,1502,low_load_energy_saving_candidate,15,12,21149,0.25,0.25,0
ES,1503,low_load_energy_saving_candidate,15,13,21152,0.25,0.25,0
ES,1504,low_load_energy_saving_candidate,15,14,21155,0,-0.137130643700292,0.137130643700292
ES,1505,low_load_energy_saving_candidate,15,15,21158,0.25,0.25,0
ES,1506,low_load_energy_saving_candidate,15,16,21161,0.25,0.25,0
ES,1507,low_load_energy_saving_candidate,15,17,21164,0,-0.129769815238694,0.129769815238694
ES,1508,low_load_energy_saving_candidate,15,18,21167,0.25,0.25,0
ES,1509,low_load_energy_saving_candidate,15,19,21170,0.25,0.25,0
ES,1510,low_load_energy_saving_candidate,15,20,21173,0,-0.0706649403593719,0.0706649403593719
ES,1511,low_load_energy_saving_candidate,15,21,21176,0,-0.0637237054836939,0.0637237054836939
ES,1514,outage_sector,15,6,21184,0,-0.083124761235893,0.083124761235893
ES,1515,outage_sector,15,15,21186,0,0,0
ES,1517,handover_stress,16,5,21191,0,0,0
ES,1518,handover_stress,16,13,21194,0,-0.0594155348982612,0.0594155348982612
ES,1519,handover_stress,16,18,21197,0.25,0.25,0
ES,1599,outage_sector,17,4,21430,0,-0.164570034175583,0.164570034175583
ES,1600,outage_sector,17,5,21433,0,-0.159622094050427,0.159622094050427
ES,1601,outage_sector,17,11,21436,0,-0.187012242378814,0.187012242378814
ES,1602,outage_sector,17,13,21439,0,-0.115512689812523,0.115512689812523
ES,1603,outage_sector,17,14,21442,0,-0.0503525502325576,0.0503525502325576
ES,1604,outage_sector,17,17,21444,0,0,0
ES,1628,low_load_energy_saving_candidate,18,1,21513,0.25,0.25,0
ES,1629,low_load_energy_saving_candidate,18,2,21516,0,-0.188870897841769,0.188870897841769
ES,1630,low_load_energy_saving_candidate,18,3,21519,0,-0.0814824106971897,0.0814824106971897
ES,1631,low_load_energy_saving_candidate,18,4,21522,0,-0.0556787280357181,0.0556787280357181
ES,1632,low_load_energy_saving_candidate,18,5,21525,0,-0.0694264093023368,0.0694264093023368
ES,1633,low_load_energy_saving_candidate,18,6,21528,0,-0.169045582842287,0.169045582842287
ES,1634,low_load_energy_saving_candidate,18,7,21531,0,-0.0511009069720129,0.0511009069720129
ES,1635,low_load_energy_saving_candidate,18,9,21534,0,-0.0521415174490049,0.0521415174490049
ES,1636,low_load_energy_saving_candidate,18,10,21536,0,0,0
ES,1637,low_load_energy_saving_candidate,18,11,21539,0,-0.0592943115428971,0.0592943115428971
ES,1638,low_load_energy_saving_candidate,18,12,21542,0,-0.000611000079746904,0.000611000079746904
ES,1639,low_load_energy_saving_candidate,18,13,21545,0,-0.0810653655211737,0.0810653655211737
ES,1640,low_load_energy_saving_candidate,18,14,21548,0,-0.0545506773644328,0.0545506773644328
ES,1641,low_load_energy_saving_candidate,18,15,21551,0,-0.113147229468145,0.113147229468145
ES,1642,low_load_energy_saving_candidate,18,16,21554,0,-0.0906922432256567,0.0906922432256567
ES,1643,low_load_energy_saving_candidate,18,17,21557,0,-0.0727992271267929,0.0727992271267929
ES,1644,low_load_energy_saving_candidate,18,18,21560,0.25,0.25,0
ES,1645,low_load_energy_saving_candidate,18,19,21563,0,-0.147279834355862,0.147279834355862
