dataset_id,scenario_id,realization_id,scenario_name,traffic_mode,impaired_sector_id,impaired_sector_status,ue_seed,shadowing_seed,traffic_seed,num_sites,num_sectors,num_ues,attached_ues,unattached_ues,attach_rate,active_ues,active_attached_ues,active_attach_rate,coverage_ratio,sinr_threshold_ratio,total_offered_traffic_Mbps,total_served_traffic_Mbps,total_unserved_traffic_Mbps,mean_ue_throughput_Mbps,median_ue_throughput_Mbps,qos_satisfied_ues,qos_satisfaction_ratio,overloaded_sector_count,mean_sector_load,max_sector_load,jain_fairness_index,mean_best_RSRP_dBm,mean_best_SINR_dB,boundary_ue_count,boundary_ue_ratio,handover_risk_score,es_candidate_sector_count,outage_scenario_label,degraded_scenario_label,overload_scenario_label,handover_stress_label,energy_saving_candidate_label
11,1,11,normal,normal,0,normal,11111,11211,11311,7,21,500,492,8,0.984,75,74,0.986666666666667,0.984,0.986,343.130167783122,328.713057572329,14.4171102107933,0.657426115144658,0,64,0.853333333333333,2,0.376789979103805,1.29643264283979,0.121644343129694,-88.0431972456532,8.54881043388466,72,0.146341463414634,0.146341463414634,0,0,0,0,0,0
12,1,12,normal,normal,0,normal,11112,11212,11312,7,21,500,491,9,0.982,75,73,0.973333333333333,0.982,0.986,336.141964526294,326.032173439386,10.1097910869079,0.652064346878772,0,73,0.973333333333333,0,0.366379812774464,0.78890016221595,0.120048942725572,-88.7617616515392,8.3582575434745,83,0.169042769857434,0.169042769857434,0,0,0,0,0,0
13,1,13,normal,normal,0,normal,11113,11213,11313,7,21,500,490,10,0.98,75,75,1,0.98,0.984,354.719946046579,354.719946046579,0,0.709439892093158,0,75,1,0,0.399123564654964,0.770304555603655,0.127720553828505,-88.661399178698,8.55611838615474,84,0.171428571428571,0.171428571428571,0,0,0,0,0,0
14,1,14,normal,normal,0,normal,11114,11214,11314,7,21,500,491,9,0.982,75,75,1,0.982,0.984,349.175975446279,339.027403054978,10.1485723913013,0.678054806109956,0,68,0.906666666666667,2,0.406203495624655,1.2887358976316,0.128700151339333,-88.1034740927266,8.81327870098177,99,0.20162932790224,0.20162932790224,0,0,0,0,0,0
15,1,15,normal,normal,0,normal,11115,11215,11315,7,21,500,487,13,0.974,75,73,0.973333333333333,0.974,0.982,332.342158087867,323.881616728585,8.46054135928201,0.64776323345717,0,73,0.973333333333333,0,0.374598605243351,0.644653854723594,0.123256691510311,-88.8018402415648,8.22793600949977,96,0.197125256673511,0.197125256673511,0,0,0,0,0,0
16,1,16,normal,normal,0,normal,11116,11216,11316,7,21,500,489,11,0.978,75,74,0.986666666666667,0.978,0.986,350.001155634876,348.471257462928,1.52989817194736,0.696942514925857,0,74,0.986666666666667,0,0.367787483198607,0.612906353468048,0.127178472042173,-88.1664678646094,8.566179280488,90,0.184049079754601,0.184049079754601,0,0,0,0,0,0
17,1,17,normal,normal,0,normal,11117,11217,11317,7,21,500,489,11,0.978,75,75,1,0.978,0.984,345.786841640177,345.786841640177,0,0.691573683280355,0,75,1,1,0.397256920083272,0.824957687367241,0.127773221577412,-88.5880474643097,8.49605818860972,88,0.179959100204499,0.179959100204499,0,0,0,0,0,0
18,1,18,normal,normal,0,normal,11118,11218,11318,7,21,500,484,16,0.968,75,74,0.986666666666667,0.968,0.978,330.665888909591,320.405756286905,10.2601326226853,0.640811512573811,0,74,0.986666666666667,1,0.353632662110331,1.07089447790507,0.12106920465867,-88.0139443939863,9.00075550491372,70,0.144628099173554,0.144628099173554,0,0,0,0,0,0
19,1,19,normal,normal,0,normal,11119,11219,11319,7,21,500,490,10,0.98,75,73,0.973333333333333,0.98,0.984,341.300253877061,325.853960707818,15.4462931692429,0.651707921415636,0,73,0.973333333333333,1,0.376446625956756,1.01886046217648,0.125097020079931,-88.4068105852119,8.47545148715948,88,0.179591836734694,0.179591836734694,0,0,0,0,0,0
20,1,20,normal,normal,0,normal,11120,11220,11320,7,21,500,485,15,0.97,75,71,0.946666666666667,0.97,0.98,386.494143147638,353.898164722386,32.5959784252523,0.707796329444772,0,71,0.946666666666667,3,0.408991518590987,1.10735496265184,0.12466554459849,-88.5222641764283,8.58530542002288,78,0.160824742268041,0.160824742268041,0,0,0,0,0,0
21,1,21,normal,normal,0,normal,11121,11221,11321,7,21,500,487,13,0.974,75,74,0.986666666666667,0.974,0.978,359.041006631672,355.841674818487,3.19933181318454,0.711683349636975,0,74,0.986666666666667,2,0.401489323689626,0.85254155911399,0.127952502936002,-88.2926040770829,8.8127872702488,81,0.166324435318275,0.166324435318275,0,0,0,0,0,0
22,2,1,low_load,low_load,0,normal,21101,21201,21301,7,21,500,488,12,0.976,25,25,1,0.976,0.976,47.045945245183,47.045945245183,0,0.094091890490366,0,25,1,0,0.0570983168180249,0.284090882301542,0.0432879811267807,-88.7857114339903,8.24853097956535,86,0.176229508196721,0.176229508196721,0,0,0,0,0,0
23,2,2,low_load,low_load,0,normal,21102,21202,21302,7,21,500,489,11,0.978,25,24,0.96,0.978,0.98,42.4205405078295,41.3286514390462,1.09188906878325,0.0826573028780925,0,24,0.96,0,0.0476184309030519,0.174108374527285,0.0406723163932312,-88.3091732749875,8.67162642084672,73,0.149284253578732,0.149284253578732,0,0,0,0,0,0
24,2,3,low_load,low_load,0,normal,21103,21203,21303,7,21,500,493,7,0.986,25,23,0.92,0.986,0.99,39.9137508227268,36.1157244084976,3.79802641422926,0.0722314488169952,0,23,0.92,0,0.0424502499505871,0.137313392667702,0.0415216155474789,-88.5139645725632,8.28419341617043,78,0.158215010141988,0.158215010141988,0,0,0,0,0,0
25,2,4,low_load,low_load,0,normal,21104,21204,21304,7,21,500,491,9,0.982,25,24,0.96,0.982,0.986,38.7909474545495,37.4128803175658,1.37806713698365,0.0748257606351316,0,24,0.96,0,0.0439286915633409,0.147899891657119,0.0410175864414718,-88.6914444992498,8.89738474765948,76,0.154786150712831,0.154786150712831,0,0,0,0,0,0
