sector_id,site_id,azimuth_deg,attached_ue_count,active_ue_count,active_attached_ue_count,offered_traffic_Mbps,served_traffic_Mbps,unserved_traffic_Mbps,sector_capacity_Mbps,sector_load_ratio,mean_RSRP_dBm,median_RSRP_dBm,mean_SINR_dB,median_SINR_dB,mean_UE_throughput_Mbps,median_UE_throughput_Mbps,qos_satisfaction_ratio,overload_flag,scenario_name,realization_id,phase_tag
10,4,30,26,5,5,40.7280907171018,40.7280907171018,0,47.6391474266271,0.854929042964726,-87.8387504975935,-89.7841384603391,10.2930622545453,9.86546492123956,8.14561814342036,6.78838087171488,1,1,mixed_conflict,11,pre
11,4,150,12,6,6,57.5748814036137,31.9200424331263,25.6548389704875,31.9200424331263,1.80372195695652,-96.8246521781329,-98.8866208790023,5.37126766561311,4.65890625532927,5.32000707218772,5.44377741366225,0,1,mixed_conflict,11,pre
12,4,270,21,5,5,39.7008570249387,32.899419627493,6.80143739744567,32.899419627493,1.20673426687934,-88.9242029458941,-88.1488752433485,5.35603511818726,2.54799990489704,6.57988392549861,5.27457672967625,1,1,mixed_conflict,11,pre
13,5,30,22,10,10,78.2155826777078,28.5499845429469,49.6655981347609,28.5499845429469,2.73960157701838,-90.0939401808351,-90.2383138718472,4.28134148629064,2.35527039122962,2.85499845429469,2.66981552922608,0,1,mixed_conflict,11,pre
14,5,150,25,6,6,53.1944565612702,49.0410228850279,4.15343367624225,49.0410228850279,1.08469304741012,-88.2323400546638,-87.6015489336057,10.7912570546293,9.12721598752595,8.17350381417132,8.6560574969172,1,1,mixed_conflict,11,pre
15,5,270,26,12,12,84.9598808009183,44.8392376478793,40.120643153039,44.8392376478793,1.89476639786128,-87.5721675217933,-88.4862540486465,9.08625342881858,8.01326761148026,3.73660313732328,3.43340296237044,0,1,mixed_conflict,11,pre
16,6,30,27,5,5,26.637006095885,26.637006095885,0,33.3277650948824,0.799243694260651,-88.3474071553089,-90.5578608910519,5.54184465315599,5.16490665078299,5.32740121917701,4.13992237995114,1,0,mixed_conflict,11,pre
17,6,150,35,11,11,94.1951805715575,34.8810992150502,59.3140813565073,34.8810992150502,2.70046479873877,-89.9632101651136,-89.2402505448172,6.07325981431435,3.66603559801942,3.17100901955002,3.42310702240433,0,1,mixed_conflict,11,pre
18,6,270,28,11,11,76.1646820146702,53.440104959995,22.7245770546752,53.440104959995,1.42523451388591,-88.3708229934936,-89.5053968624016,11.7373689916159,10.8893865652643,4.85819135999954,4.62390526651648,0,1,mixed_conflict,11,pre
19,7,30,21,4,4,24.3637667955694,24.3637667955694,0,47.3608801337264,0.514428083405054,-87.3818324502025,-85.4740899491759,9.27806005151814,10.3482882033433,6.09094169889235,5.05688452458898,1,0,mixed_conflict,11,pre
20,7,150,25,8,8,60.6936855229085,36.4915030740288,24.2021824488797,36.4915030740288,1.66322788622277,-88.3075213960216,-89.1215609396354,6.3276978633784,4.97214969767892,4.5614378842536,4.93637286615139,0,1,mixed_conflict,11,pre
21,7,270,16,4,4,31.9615592735204,31.9615592735204,0,49.4824291501172,0.645917345257184,-88.3946896755075,-88.4620017319628,11.0132305808478,6.15723972927066,7.9903898183801,8.25623139812807,1,0,mixed_conflict,11,pre
1,1,30,26,10,10,83.3233785551208,33.9265985116256,49.3967800434952,33.9265985116256,2.45598976055818,-87.8783845988484,-89.0584104111147,6.01402386446238,6.15506563756808,3.39265985116256,3.35121891964561,0,1,mixed_conflict,11,post
2,1,150,22,1,1,9.85425222676372,9.85425222676372,0,39.1441576250838,0.251742605400941,-86.9273873559167,-87.6120846069907,7.1065533906801,4.63555272642039,9.85425222676372,9.85425222676372,1,0,mixed_conflict,11,post
3,1,270,23,8,8,58.2560622978717,36.4413048172884,21.8147574805833,36.4413048172884,1.59862723329912,-86.8581674635267,-88.9704752796737,6.51436100505274,6.37296490337509,4.55516310216105,4.39544869646512,0,1,mixed_conflict,11,post
4,2,30,19,4,4,37.7706870026518,37.7706870026518,0,45.0652422480737,0.838133450936153,-90.9861616237726,-93.5259523882729,8.91246478733605,9.2516712686985,9.44267175066294,9.97275405959624,1,1,mixed_conflict,11,post
