dataset_id,scenario_id,realization_id,scenario_name,traffic_mode,active_ues,total_served_traffic_Mbps,total_unserved_traffic_Mbps,overloaded_sector_count,mean_sector_load,max_sector_load,mean_best_RSRP_dBm,mean_best_SINR_dB,coverage_ratio,boundary_ue_ratio,handover_risk_score,es_candidate_sector_count,qos_satisfaction_ratio_active
42,2,21,low_load,low_load,25,41.1345794546347,0,0,0.0430552062758566,0.15275589694058,-88.1359017993401,9.48164054483797,0.978,0.124744376278119,0.124744376278119,0,1
43,3,1,overload,overload,150,793.54622421941,343.74552768622,17,1.25567136463091,2.465772854792,-88.5717598415401,8.29285972359662,0.974,0.166324435318275,0.166324435318275,0,0.346666666666667
44,3,2,overload,overload,150,823.060363800254,287.401810259773,18,1.19880360903905,2.86419769140262,-88.7371803262396,8.54993029725295,0.972,0.164609053497942,0.164609053497942,0,0.606666666666667
45,3,3,overload,overload,150,829.361783163969,298.896667782471,17,1.20219582297948,2.216713451513,-88.3089654276333,8.96376538506641,0.972,0.152263374485597,0.152263374485597,0,0.28
46,3,4,overload,overload,150,727.186221745069,395.043494313383,15,1.21992977498296,3.21706871185744,-88.5434122479004,8.62962634302571,0.962,0.162162162162162,0.162162162162162,0,0.346666666666667
47,3,5,overload,overload,150,807.860611717932,395.269427798959,18,1.33710652496353,2.1667489855939,-88.9559487623557,8.10837305021107,0.954,0.186582809224319,0.186582809224319,0,0.266666666666667
48,3,6,overload,overload,150,791.583977535322,356.017210408929,15,1.3206582060318,2.87729347707859,-89.104962044194,8.05675428631151,0.984,0.189024390243902,0.189024390243902,0,0.3
49,3,7,overload,overload,150,805.20581412647,350.257210938987,17,1.34289348931012,3.0814203413003,-88.2377146877726,8.54685979524745,0.984,0.186991869918699,0.186991869918699,0,0.333333333333333
50,3,8,overload,overload,150,799.385887009099,386.877962686001,16,1.30647046173799,2.48024160058393,-88.3601399385752,8.62914938779923,0.966,0.167701863354037,0.167701863354037,0,0.433333333333333
51,3,9,overload,overload,150,831.332839683992,295.009240077989,16,1.19085032994555,1.74256864205172,-88.1799889016524,8.77297332427086,0.978,0.171779141104294,0.171779141104294,0,0.346666666666667
52,3,10,overload,overload,150,797.964713373785,295.071299305239,17,1.22738366961354,2.31060958153613,-88.8073262594242,8.1199786099634,0.976,0.149590163934426,0.149590163934426,0,0.326666666666667
53,3,11,overload,overload,150,804.506061531215,321.892905802372,18,1.25357416937817,2.21670269446395,-88.526263634915,8.51042716006919,0.968,0.175619834710744,0.175619834710744,0,0.386666666666667
54,3,12,overload,overload,150,800.713998269043,283.45843920336,16,1.23276928081428,2.27878357732757,-88.1534997704212,8.08425678716069,0.98,0.183673469387755,0.183673469387755,0,0.446666666666667
55,3,13,overload,overload,150,829.637448512486,327.642407634527,19,1.33468412657673,2.3188667532309,-88.5268677838944,8.05768463008206,0.98,0.175510204081633,0.175510204081633,0,0.386666666666667
56,3,14,overload,overload,150,834.146234666188,321.898287804369,18,1.27651064598913,2.88901217192044,-88.5086961972567,8.7708889489943,0.962,0.187110187110187,0.187110187110187,0,0.46
57,3,15,overload,overload,150,805.930809993019,328.826463093197,15,1.24056611885566,2.76921139715996,-88.0783550136317,8.99012215322429,0.962,0.168399168399168,0.168399168399168,0,0.433333333333333
58,3,16,overload,overload,150,773.415598045901,379.594899639943,16,1.38155668622608,3.57975917899589,-88.8080184762221,8.2247215382045,0.976,0.155737704918033,0.155737704918033,0,0.333333333333333
59,3,17,overload,overload,150,767.755208274062,369.753908232436,15,1.30275091764041,3.71468735605018,-88.9270688000413,7.99483625032076,0.968,0.169421487603306,0.169421487603306,0,0.266666666666667
60,3,18,overload,overload,150,739.591253759721,389.201175600889,15,1.32355923219124,2.67807964179287,-88.511702663196,8.28322484971865,0.988,0.172064777327935,0.172064777327935,0,0.3
61,3,19,overload,overload,150,860.674198704663,308.807360046218,18,1.26929366848327,2.48727108111173,-87.8282912080516,8.96704103617659,0.988,0.149797570850202,0.149797570850202,0,0.413333333333333
62,3,20,overload,overload,150,812.451117936849,287.5397556424,16,1.2272580142092,2.21219249818356,-88.7266604151136,8.41263809017354,0.97,0.162886597938144,0.162886597938144,0,0.433333333333333
63,3,21,overload,overload,150,804.82442987882,343.429588873326,18,1.31454242524061,2.43722743419862,-89.2378418627496,7.89759085596715,0.972,0.189300411522634,0.189300411522634,0,0.413333333333333
64,4,1,degraded_sector,normal,75,326.628128171722,2.02180491961154,1,0.368215123553793,1.05150223712569,-88.344066113905,8.80899802700447,0.98,0.181632653061225,0.181632653061225,0,1
65,4,2,degraded_sector,normal,75,312.960341220161,9.54057184437956,0,0.360405482395157,0.664218975879013,-88.6289272870172,8.73664001249368,0.97,0.183505154639175,0.183505154639175,0,0.946666666666667
66,4,3,degraded_sector,normal,75,333.251276843591,3.04341115935332,1,0.379172430971411,1.10037126055819,-88.527655360388,9.00624397138462,0.976,0.155737704918033,0.155737704918033,0,1
67,4,4,degraded_sector,normal,75,349.523195907246,3.0874808544544,4,0.415070566172145,1.03898636255267,-89.1024206224176,8.11263878149011,0.972,0.166666666666667,0.166666666666667,0,0.986666666666667
68,4,5,degraded_sector,normal,75,306.483014819005,28.0688488979587,1,0.339874152461627,0.826806283463689,-88.7223260081961,8.87109825799447,0.97,0.162886597938144,0.162886597938144,0,0.933333333333333
69,4,6,degraded_sector,normal,75,362.05850891662,0,3,0.424129954390029,0.921736571926938,-89.1163252695578,8.22548631058465,0.978,0.169734151329243,0.169734151329243,0,1
70,4,7,degraded_sector,normal,75,315.034246463181,17.0093888272373,0,0.358983203754411,0.697637250698613,-88.9218058793561,8.33626437115797,0.964,0.186721991701245,0.186721991701245,0,0.96
71,4,8,degraded_sector,normal,75,317.968455694682,9.84879718149479,1,0.361232447062081,0.810812577349843,-88.6742932318235,8.31294967789919,0.984,0.16869918699187,0.16869918699187,0,0.96
72,4,9,degraded_sector,normal,75,302.347682962624,3.72249039054828,2,0.347930472774661,1.00782678343266,-88.662871747298,8.84646943076391,0.974,0.137577002053388,0.137577002053388,0,0.986666666666667
73,4,10,degraded_sector,normal,75,324.113004570807,23.238572191058,1,0.358884973851934,1.29410538152903,-88.1069667832202,8.96202853558253,0.972,0.181069958847737,0.181069958847737,0,0.866666666666667
74,4,11,degraded_sector,normal,75,326.403058947384,13.6536591866221,1,0.372629278986984,0.812201557200728,-89.6267314461037,8.43125553612735,0.962,0.195426195426195,0.195426195426195,0,0.946666666666667
75,4,12,degraded_sector,normal,75,337.979291875401,6.12261962622282,0,0.385741734692028,0.660016577478923,-88.5853183718901,8.61680665714905,0.962,0.185031185031185,0.185031185031185,0,0.973333333333333
76,4,13,degraded_sector,normal,75,356.098745770642,5.84516903223473,2,0.427606578137818,1.04092770238006,-88.4869188184646,8.37947759769604,0.988,0.212550607287449,0.212550607287449,0,0.986666666666667
77,4,14,degraded_sector,normal,75,339.827226048529,10.2579317699113,2,0.406843452852623,1.07477894124007,-88.5063393383053,8.26199956657793,0.968,0.161157024793388,0.161157024793388,0,0.973333333333333
78,4,15,degraded_sector,normal,75,320.899323464984,5.90475693410081,2,0.400608901634024,1.15954073445723,-89.2093087392643,8.15122758828893,0.972,0.185185185185185,0.185185185185185,0,1
79,4,16,degraded_sector,normal,75,315.967194467436,9.10074295368479,1,0.356081024402907,0.86806826403196,-88.9063904241772,8.56163293087056,0.968,0.163223140495868,0.163223140495868,0,0.96
80,4,17,degraded_sector,normal,75,322.235099579726,6.1791532349831,0,0.35011397283774,0.695844761140232,-88.5211034889172,8.99006610879944,0.98,0.153061224489796,0.153061224489796,0,0.986666666666667
81,4,18,degraded_sector,normal,75,300.453185644573,26.0080383122622,0,0.321808211151666,0.709003156340214,-88.2759850300337,9.03353866892525,0.958,0.173277661795407,0.173277661795407,0,0.92
82,4,19,degraded_sector,normal,75,312.16077777146,8.1498389845922,1,0.359380423708871,0.944649183340611,-88.6790495334484,8.38079504478738,0.976,0.180327868852459,0.180327868852459,0,0.973333333333333
83,4,20,degraded_sector,normal,75,341.235835821222,17.3996129962136,1,0.402468469693993,0.831343693488116,-89.0732858404827,8.42845419277907,0.97,0.154639175257732,0.154639175257732,0,0.946666666666667
84,4,21,degraded_sector,normal,75,323.907584030381,14.7265666504997,1,0.364589937241412,0.92033231417727,-88.9105955113763,8.56422350440281,0.962,0.182952182952183,0.182952182952183,0,0.96
85,5,1,outage_sector,normal,75,307.307185984464,5.71444417950791,0,0.341190672064382,0.730864543141734,-88.6776504701581,9.1038257496372,0.976,0.172131147540984,0.172131147540984,0,0.973333333333333
86,5,2,outage_sector,normal,75,321.562054757459,15.1841612613608,2,0.349370852007098,0.827855260050664,-88.345334090881,9.18718185418029,0.964,0.16804979253112,0.16804979253112,0,0.96
87,5,3,outage_sector,normal,75,328.720736944194,0,1,0.368647063709497,0.902151511692954,-89.0450035298407,8.47145671446334,0.972,0.197530864197531,0.197530864197531,0,1
88,5,4,outage_sector,normal,75,332.035810259439,18.6900890555156,2,0.374715944586801,1.10486568916092,-89.0779299673723,8.43749146873408,0.954,0.176100628930818,0.176100628930818,0,0.96
