traffic_mode,sector_id,site_id,azimuth_deg,attached_ue_count,active_ue_count,active_attached_ue_count,offered_traffic_Mbps,served_traffic_Mbps,unserved_traffic_Mbps,sector_capacity_Mbps,sector_load_ratio,mean_RSRP_dBm,median_RSRP_dBm,mean_SINR_dB,median_SINR_dB,mean_UE_throughput_Mbps,median_UE_throughput_Mbps,qos_satisfaction_ratio,overload_flag
normal,16,6,30,19,3,3,17.6907471042427,17.6907471042427,0,26.7196584067836,0.662087322933419,-90.6416251152966,-92.0187218137426,3.59541315837508,1.68414079544156,5.89691570141425,7.56089465268754,1,0
normal,17,6,150,24,3,3,17.8630268732068,17.8630268732068,0,40.4117778594379,0.442025266379986,-89.3716870940475,-90.6158881566903,7.50806156900237,6.7240765653492,5.95434229106895,6.73173137056434,1,0
normal,18,6,270,27,6,6,30.3060706454959,30.3060706454959,0,60.0464163979457,0.504710729856857,-87.4698532558352,-86.7181291074655,13.4892969919554,11.2409240971693,5.05101177424932,5.43425819655187,1,0
normal,19,7,30,24,5,5,26.8930189526888,26.8930189526888,0,35.6798636653743,0.753730989695099,-89.3121102819908,-87.8884156575396,6.48026681675229,6.78056694485559,5.37860379053776,6.44665795350784,1,0
normal,20,7,150,16,2,2,13.0099846818981,13.0099846818981,0,37.6870053531332,0.345211421284139,-87.0084066875333,-88.1668778429572,6.87556186827091,5.27003632932649,6.50499234094903,6.50499234094903,1,0
normal,21,7,270,25,5,5,29.3115041799137,29.3115041799137,0,60.9825753012369,0.480653761096887,-84.8394275727211,-82.8226228241485,13.2121705598789,15.7596122601533,5.86230083598274,6.65113705269845,1,0
overload,1,1,30,13,1,1,10.6358711544625,10.6358711544625,0,49.7912963312864,0.213609042907755,-85.5503972206374,-86.8407933581074,10.3344591492966,10.4201949625117,10.6358711544625,10.6358711544625,1,0
overload,2,1,150,22,7,7,52.1742501066137,41.3654733949222,10.8087767116915,41.3654733949222,1.2612994805716,-86.1333431386925,-86.3005274050616,8.208967967445,5.12238657082889,5.90935334213174,6.20884648097298,0,1
overload,3,1,270,23,10,10,64.5801777848256,33.4871641553471,31.0930136294785,33.4871641553471,1.92850542629522,-87.3176432843084,-88.6851134720523,5.69700580590055,4.02243564273351,3.34871641553471,2.95295632840016,0,1
overload,4,2,30,24,12,12,94.6523727668356,55.9365448599305,38.7158279069051,55.9365448599305,1.69213835076608,-87.6522679601982,-90.436718593669,11.9784768357406,11.4704644298738,4.66137873832754,4.69634399439356,0,1
overload,5,2,150,26,7,7,50.2924232045671,33.9015863021969,16.3908369023702,33.9015863021969,1.48348288945134,-88.9192265788546,-89.6826087259483,5.74137216165672,4.56308262574071,4.8430837574567,4.35720415571557,0,1
overload,6,2,270,26,9,9,44.6686782433648,41.8901539021261,2.77852434123869,41.8901539021261,1.06632881673652,-91.5891253036479,-92.2575393529815,8.3150009313893,8.21645728080615,4.65446154468068,3.64316562651201,1,1
overload,7,3,30,23,4,4,31.338681637059,31.338681637059,0,59.8766959000659,0.523386956577617,-87.1756557117924,-88.2169673341703,13.0111997059527,14.3953900867623,7.83467040926474,8.20568552137432,1,0
overload,8,3,150,33,8,8,64.1995268160125,42.5092289482998,21.6902978677127,42.5092289482998,1.51024914834594,-88.3128813805098,-89.4824691673178,8.33738305990662,5.87898343584479,5.31365361853748,5.44736605682044,0,1
overload,9,3,270,22,6,6,42.2205172044244,42.1613591272738,0.0591580771505997,42.1613591272738,1.0014031349647,-84.0456657127443,-84.7275504477005,8.18076693515316,5.94593327563523,7.02689318787896,6.31201691878271,1,1
overload,10,4,30,25,8,8,67.0255169908807,42.8728088576986,24.152708133182,42.8728088576986,1.56335726015406,-87.6466992548692,-89.090929083239,7.91662287487146,9.1588180710189,5.35910110721233,5.98913234582997,0,1
overload,11,4,150,22,5,5,27.4508763732345,27.4508763732345,0,47.0552967990616,0.58337484280371,-88.8948755117851,-90.4208514210981,9.98768182451091,7.65030221943893,5.4901752746469,4.32604837739324,1,0
overload,12,4,270,27,9,9,59.2206642287406,33.1915624640902,26.0291017646504,33.1915624640902,1.78420839009345,-88.9105232334278,-91.0446833336308,5.63254208854971,2.03501338086627,3.68795138489892,3.85437169789115,0,1
overload,13,5,30,17,4,4,26.9038827297822,26.9038827297822,0,50.9575098279004,0.527966983093269,-82.2239187929964,-82.9346959290611,11.4607284596707,9.30581376209746,6.72597068244554,6.42601106597704,1,0
overload,14,5,150,28,8,8,60.6151186686188,52.3259837953897,8.28913487322916,52.3259837953897,1.15841335932913,-89.668359627558,-89.995681549539,10.9252884395577,11.2449498031689,6.54074797442371,6.82213413701232,1,1
overload,15,5,270,25,6,6,43.137256590438,43.137256590438,0,48.8312701208346,0.883394113724533,-86.2939086688513,-86.1232964824157,10.3516935934875,8.35122831185965,7.18954276507299,6.2883006741083,1,1
overload,16,6,30,19,6,6,42.4566759320032,26.7196584067836,15.7370175252197,26.7196584067836,1.58896776619062,-90.6416251152966,-92.0187218137426,3.59541315837508,1.68414079544156,4.45327640113059,4.31040767667853,0,1
overload,17,6,150,24,7,7,44.0059044466053,40.4117778594379,3.59412658716745,40.4117778594379,1.08893760130199,-89.3716870940475,-90.6158881566903,7.50806156900237,6.7240765653492,5.77311112277684,4.98456600551374,1,1
overload,18,6,270,27,11,11,82.2953343835555,60.0464163979457,22.2489179856098,60.0464163979457,1.37052865633412,-87.4698532558352,-86.7181291074655,13.4892969919554,11.2409240971693,5.45876512708598,5.50977420965196,0,1
overload,19,7,30,24,10,10,70.9174821681143,35.6798636653743,35.2376185027399,35.6798636653743,1.98760518911221,-89.3121102819908,-87.8884156575396,6.48026681675229,6.78056694485559,3.56798636653743,3.50569287410108,0,1
overload,20,7,150,16,2,2,10.5062885878244,10.5062885878244,0,37.6870053531332,0.278777485485484,-87.0084066875333,-88.1668778429572,6.87556186827091,5.27003632932649,5.25314429391222,5.25314429391222,1,0
overload,21,7,270,25,7,7,49.0041325813905,49.0041325813905,0,60.9825753012369,0.803575977880956,-84.8394275727211,-82.8226228241485,13.2121705598789,15.7596122601533,7.00059036877007,6.865458865538,1,1
