scenario_id,scenario_name,sector_id,site_id,azimuth_deg,attached_ue_count,active_ue_count,active_attached_ue_count,offered_traffic_Mbps,served_traffic_Mbps,unserved_traffic_Mbps,sector_capacity_Mbps,sector_load_ratio,mean_RSRP_dBm,median_RSRP_dBm,mean_SINR_dB,median_SINR_dB,mean_UE_throughput_Mbps,median_UE_throughput_Mbps,qos_satisfaction_ratio,overload_flag,es_candidate
4,degraded_sector,3,1,270,20,4,4,23.0048090485235,23.0048090485235,0,30.0554976074755,0.76541101894123,-90.0265626219289,-91.4235192852555,4.72800433725081,3.35944006546768,5.75120226213088,6.61619729410082,1,0,0
4,degraded_sector,4,2,30,23,1,1,7.47964408141439,7.47964408141439,0,55.0651501089981,0.135832628561057,-88.491645087168,-86.6260977325075,11.5911176306825,10.5958189776708,7.47964408141439,7.47964408141439,1,0,0
4,degraded_sector,5,2,150,23,4,4,14.105533668272,14.105533668272,0,38.4553294239154,0.366803090223945,-87.2730569036018,-87.0215314744135,6.80001110168376,4.49738654849806,3.52638341706799,3.24389359036349,1,0,0
4,degraded_sector,6,2,270,27,1,1,5.57627390663465,5.57627390663465,0,40.2119861098428,0.138671934567035,-89.7325094452535,-89.9596281990182,7.46115184446237,5.16271854754086,5.57627390663465,5.57627390663465,1,0,0
4,degraded_sector,7,3,30,28,5,5,25.6467860198803,25.6467860198803,0,54.0814879482999,0.474224859426904,-88.4382814116212,-87.3230920990358,11.6016944864881,11.4283773672702,5.12935720397606,5.32045424100845,1,0,0
4,degraded_sector,8,3,150,31,3,3,9.38583691978573,9.38583691978573,0,45.0582118804914,0.208304691377455,-89.6192703264429,-90.5076351191464,8.91122927701572,7.94832077077002,3.12861230659524,2.72894408628813,1,0,0
4,degraded_sector,9,3,270,21,4,4,17.0358072171663,17.0358072171663,0,40.5605459422169,0.420009317464212,-86.4410847710782,-86.4319682162405,7.60951693807632,5.12575579641214,4.25895180429158,3.9930831160879,1,0,0
4,degraded_sector,10,4,30,32,7,7,32.2302203798421,32.2302203798421,0,39.3534065194676,0.818994420823474,-89.0702682210697,-89.8283941979931,7.3675696433798,6.7160928255836,4.6043171971203,4.37644155559147,1,1,0
4,degraded_sector,11,4,150,7,1,1,6.27975584159195,6.27975584159195,0,40.6654875116679,0.154424703252116,-91.6359009538787,-91.1956627229351,7.75536869219342,5.86279295901794,6.27975584159195,6.27975584159195,1,0,0
4,degraded_sector,12,4,270,26,3,3,9.17064345399447,9.17064345399447,0,33.3140139527542,0.275278850125963,-86.7200280982086,-86.8893088447334,5.60897795316404,4.38310266012404,3.05688115133149,2.50572205499513,1,0,0
4,degraded_sector,13,5,30,22,3,3,12.4648679037144,12.4648679037144,0,35.9225230032849,0.346993107988949,-85.9188835537153,-86.5851448014667,6.6538287452202,5.19961899387614,4.15495596790479,2.78911009638307,1,0,0
4,degraded_sector,14,5,150,31,2,2,11.9922867365422,11.9922867365422,0,52.1999057778479,0.229737708485124,-89.3995734179541,-89.9180850618075,10.6353872081117,9.98252388538404,5.99614336827109,5.99614336827109,1,0,0
4,degraded_sector,15,5,270,26,4,4,15.908262504747,15.908262504747,0,29.3281003942736,0.542423896907182,-91.3082619192001,-90.7327315910204,4.57082829615719,2.73014041598397,3.97706562618674,3.51370264155729,1,0,0
4,degraded_sector,16,6,30,17,2,2,15.6506270395722,15.6506270395722,0,29.8266907452611,0.5247188557805,-87.8839199033095,-88.6826212446397,4.93315622395789,6.43254468423098,7.82531351978612,7.82531351978612,1,0,0
4,degraded_sector,17,6,150,21,4,4,20.5049076791725,20.5049076791725,0,49.6593292942268,0.41291149056168,-86.3798958115902,-86.9738202361338,10.5412176008821,9.64070049495181,5.12622691979312,5.02091438168785,1,0,0
