ue_id,x_m,y_m,serving_sector,isAttached,isTrafficActive,demand_Mbps,service_class,spectralEfficiency_bpsHz,peakThroughput_Mbps,servedThroughput_Mbps,unservedDemand_Mbps,meetsMinThroughput,qosSatisfied,bestRSRP_dBm,bestSINR_dB
93,1023.38717530322,462.741329422485,7,1,0,0,no_traffic,2.62095336412958,52.4190672825915,0,0,0,0,-83.4690770011033,10.9344055162778
94,43.4176111705444,886.822278312286,4,1,0,0,no_traffic,4.5,90,0,0,0,0,-59.7492165620694,24.542074092698
95,469.095612585119,-12.2553622922035,2,1,0,0,no_traffic,0.476435085268112,9.52870170536224,0,0,0,0,-96.299050969523,-2.19805037001495
96,-315.097444881443,-49.0202642270042,3,1,0,0,no_traffic,3.39488395234196,67.8976790468393,0,0,0,0,-81.694382803694,14.4461776371589
97,1090.09969465432,233.336186867224,8,1,0,0,no_traffic,2.03064095265393,40.6128190530785,0,0,0,0,-97.686096959541,8.10837341754623
98,-573.531834799682,-384.292505607071,16,1,1,7.91833264392088,high_rate,0.793338812459268,15.8667762491854,7.91833264392088,0,1,1,-82.835184510877,0.768813178466284
99,-6.35760236856595,449.503365890156,5,1,0,0,no_traffic,2.31555716045005,46.3111432090011,0,0,0,0,-89.8396968043913,9.49560870817068
100,-460.090583381005,165.977854469557,20,1,0,0,no_traffic,1.47561069550359,29.5122139100718,0,0,0,0,-90.2036053891086,5.19956326103138
101,-497.147560221827,-588.270082296896,15,1,0,0,no_traffic,1.09676006714436,21.9352013428872,0,0,0,0,-92.0135816158921,2.92802822685457
102,253.159353419387,751.021724117279,4,1,0,0,no_traffic,0.494899185019025,9.89798370038051,0,0,0,0,-91.3194982923305,-1.99004859604647
103,6.19015115391971,400.102080550254,1,1,1,2.33870351060791,low_rate,2.96292014302439,59.2584028604878,2.33870351060791,0,1,1,-88.8637358806063,12.5044617036232
104,943.339168506014,526.131241541271,7,1,1,7.1507410595597,high_rate,0.730100158306972,14.6020031661394,7.1507410595597,0,1,1,-97.7041263023147,0.255140432757513
105,-601.768303329569,850.982471374629,6,1,0,0,no_traffic,2.68415266981414,53.6830533962828,0,0,0,0,-93.8284783259314,11.2273832270599
106,-820.505919323977,498.629396330432,21,1,0,0,no_traffic,2.98008125667809,59.6016251335619,0,0,0,0,-77.7874665731776,12.5823707007825
107,-24.3704524227869,454.868179523424,5,1,0,0,no_traffic,2.55911695278623,51.1823390557245,0,0,0,0,-82.0549088040506,10.646311334823
108,1122.14395400815,299.502112444015,8,1,0,0,no_traffic,0.768271026693785,15.3654205338757,0,0,0,0,-103.271259938083,0.568592142867992
109,-596.007097474525,638.127374761226,19,1,0,0,no_traffic,2.59185240961731,51.8370481923461,0,0,0,0,-87.0062186499712,10.7990080130882
110,397.736401060587,-862.046236043458,14,1,0,0,no_traffic,2.26315743210055,45.263148642011,0,0,0,0,-89.8628433018816,9.2442120193756
111,-305.500297551868,822.710321152807,6,1,0,0,no_traffic,2.55747763341015,51.149552668203,0,0,0,0,-89.7463628754862,10.6386535261006
112,305.705856185199,-937.129812973549,14,1,0,0,no_traffic,1.18889125481468,23.7778250962935,0,0,0,0,-88.3653730873307,3.51302322282911
113,308.533753736944,-416.336545402815,12,1,0,0,no_traffic,1.03108313273415,20.6216626546831,0,0,0,0,-93.3067695468862,2.49428062519655
114,82.6609861089507,614.875556243716,5,1,0,0,no_traffic,4.01494695961679,80.2989391923358,0,0,0,0,-78.3657371149951,17.1837126950867
115,774.749956485412,802.88920712503,7,1,0,0,no_traffic,3.45165322569993,69.0330645139986,0,0,0,0,-91.7950475486433,14.6988296860837
116,-414.105587315893,838.662271782504,19,1,1,6.67573832086317,high_rate,0.779491565806867,15.5898313161373,6.67573832086317,0,1,1,-98.5680086894448,0.658739999475022
117,-724.330339384716,18.8565555024772,16,1,0,0,no_traffic,0.487642891754243,9.75285783508486,0,0,0,0,-102.207761722613,-2.07105963579513
118,210.017237289485,-537.743764079873,12,1,0,0,no_traffic,0.558436652512692,11.1687330502538,0,0,0,0,-92.4412643334139,-1.31703658037301
119,410.280219862115,295.248732306026,1,1,0,0,no_traffic,1.2584137207925,25.16827441585,0,0,0,0,-86.8407933581074,3.93879870679939
120,27.9422208733606,332.838471184163,9,1,0,0,no_traffic,0.552616547462402,11.052330949248,0,0,0,0,-94.1284040531449,-1.37619295067718
121,-631.958870128896,-606.512932867703,17,1,0,0,no_traffic,4.33076913053778,86.6153826107557,0,0,0,0,-76.4060046418058,18.5641333561229
122,335.43625392628,338.373870718089,9,1,0,0,no_traffic,1.75465150111326,35.0930300222651,0,0,0,0,-88.0588775966804,6.70521339841509
123,-752.408939024519,100.965909611543,20,1,0,0,no_traffic,2.29067204607645,45.8134409215289,0,0,0,0,-88.4360991908063,9.37640604423577
124,441.180743454796,706.629399866193,9,1,0,0,no_traffic,2.28892846017547,45.7785692035094,0,0,0,0,-86.5169200588373,9.36804144915853
125,-261.709312275725,-992.40166225178,17,1,0,0,no_traffic,0.807713983510991,16.1542796702198,0,0,0,0,-91.9798572520991,0.881753367275308
126,1009.10832523049,659.113901065688,0,0,0,0,no_traffic,0.498444259040021,9.96888518080042,0,0,0,0,-109.135004339483,-1.95080501871917
127,-837.544117458035,104.20102753051,20,1,1,7.73229439565136,high_rate,3.93240311138842,78.6480622277685,7.73229439565136,0,1,1,-86.3455155977423,16.8216585247997
128,-893.108093553136,-399.283955892414,18,1,1,5.958861628711,normal_rate,4.5,90,5.958861628711,0,1,1,-81.4267240435095,19.4719747414956
129,981.297087284516,334.879652758786,8,1,1,2.72894408628813,low_rate,2.48836429158729,49.7672858317458,2.72894408628813,0,1,1,-89.4824691673178,10.3147995571865
130,732.973625413085,474.424726985926,7,1,0,0,no_traffic,3.12271248103194,62.4542496206388,0,0,0,0,-75.1766564357264,13.2271951681991
131,127.546996957143,-1091.24196738698,14,1,0,0,no_traffic,1.25588449213437,25.1176898426873,0,0,0,0,-102.083434993082,3.92352263698065
132,68.5106272493267,-502.581059673743,13,1,0,0,no_traffic,1.44838118001332,28.9676236002665,0,0,0,0,-86.0256357448781,5.04646803392244
133,-596.476104480575,525.649235674787,19,1,1,7.15469608092226,high_rate,3.33107042237712,66.6214084475423,7.15469608092226,0,1,1,-79.0040058602033,14.1615636291159
134,917.806742383033,207.48621905938,8,1,0,0,no_traffic,4.5,90,0,0,0,0,-80.3780332481779,23.4110515437611
