final_decision_id,scenario_name,realization_id,selected_action_id_safe,module_name,final_decision_status,reason_not_applied
338,low_load_energy_saving_candidate,15,21127,ES,final_noop,no-op decision; no parameter change to apply
339,low_load_energy_saving_candidate,15,21130,ES,final_noop,no-op decision; no parameter change to apply
341,low_load_energy_saving_candidate,15,21136,ES,final_noop,no-op decision; no parameter change to apply
342,low_load_energy_saving_candidate,15,21139,ES,final_noop,no-op decision; no parameter change to apply
344,low_load_energy_saving_candidate,15,21145,ES,final_noop,no-op decision; no parameter change to apply
347,low_load_energy_saving_candidate,15,21154,ES,final_noop,no-op decision; no parameter change to apply
350,low_load_energy_saving_candidate,15,21163,ES,final_noop,no-op decision; no parameter change to apply
353,low_load_energy_saving_candidate,15,21172,ES,final_noop,no-op decision; no parameter change to apply
354,low_load_energy_saving_candidate,15,21175,ES,final_noop,no-op decision; no parameter change to apply
355,outage_sector,15,21183,ES,final_noop,no-op decision; no parameter change to apply
356,outage_sector,15,21186,ES,final_noop,no-op decision; no parameter change to apply
357,handover_stress,16,21191,ES,final_noop,no-op decision; no parameter change to apply
358,handover_stress,16,21193,ES,final_noop,no-op decision; no parameter change to apply
360,outage_sector,17,21429,ES,final_noop,no-op decision; no parameter change to apply
361,outage_sector,17,21432,ES,final_noop,no-op decision; no parameter change to apply
362,outage_sector,17,21435,ES,final_noop,no-op decision; no parameter change to apply
363,outage_sector,17,21438,ES,final_noop,no-op decision; no parameter change to apply
364,outage_sector,17,21441,ES,final_noop,no-op decision; no parameter change to apply
365,outage_sector,17,21444,ES,final_noop,no-op decision; no parameter change to apply
367,low_load_energy_saving_candidate,18,21515,ES,final_noop,no-op decision; no parameter change to apply
368,low_load_energy_saving_candidate,18,21518,ES,final_noop,no-op decision; no parameter change to apply
369,low_load_energy_saving_candidate,18,21521,ES,final_noop,no-op decision; no parameter change to apply
370,low_load_energy_saving_candidate,18,21524,ES,final_noop,no-op decision; no parameter change to apply
371,low_load_energy_saving_candidate,18,21527,ES,final_noop,no-op decision; no parameter change to apply
372,low_load_energy_saving_candidate,18,21530,ES,final_noop,no-op decision; no parameter change to apply
373,low_load_energy_saving_candidate,18,21533,ES,final_noop,no-op decision; no parameter change to apply
374,low_load_energy_saving_candidate,18,21536,ES,final_noop,no-op decision; no parameter change to apply
375,low_load_energy_saving_candidate,18,21538,ES,final_noop,no-op decision; no parameter change to apply
376,low_load_energy_saving_candidate,18,21541,ES,final_noop,no-op decision; no parameter change to apply
377,low_load_energy_saving_candidate,18,21544,ES,final_noop,no-op decision; no parameter change to apply
378,low_load_energy_saving_candidate,18,21547,ES,final_noop,no-op decision; no parameter change to apply
379,low_load_energy_saving_candidate,18,21550,ES,final_noop,no-op decision; no parameter change to apply
380,low_load_energy_saving_candidate,18,21553,ES,final_noop,no-op decision; no parameter change to apply
381,low_load_energy_saving_candidate,18,21556,ES,final_noop,no-op decision; no parameter change to apply
383,low_load_energy_saving_candidate,18,21562,ES,final_noop,no-op decision; no parameter change to apply
384,low_load_energy_saving_candidate,18,21565,ES,final_noop,no-op decision; no parameter change to apply
386,low_load,19,21589,ES,final_noop,no-op decision; no parameter change to apply
387,low_load,19,21592,ES,final_noop,no-op decision; no parameter change to apply
388,low_load,19,21595,ES,final_noop,no-op decision; no parameter change to apply
389,low_load,19,21598,ES,final_noop,no-op decision; no parameter change to apply
393,low_load,19,21610,ES,final_noop,no-op decision; no parameter change to apply
394,low_load,19,21612,ES,final_noop,no-op decision; no parameter change to apply
395,low_load,19,21615,ES,final_noop,no-op decision; no parameter change to apply
396,low_load,19,21618,ES,final_noop,no-op decision; no parameter change to apply
398,low_load,19,21624,ES,final_noop,no-op decision; no parameter change to apply
399,low_load,19,21627,ES,final_noop,no-op decision; no parameter change to apply
400,low_load,19,21630,ES,final_noop,no-op decision; no parameter change to apply
401,low_load,19,21633,ES,final_noop,no-op decision; no parameter change to apply
403,low_load,19,21639,ES,final_noop,no-op decision; no parameter change to apply
405,low_load_energy_saving_candidate,19,21645,ES,final_noop,no-op decision; no parameter change to apply
406,low_load_energy_saving_candidate,19,21648,ES,final_noop,no-op decision; no parameter change to apply
407,low_load_energy_saving_candidate,19,21651,ES,final_noop,no-op decision; no parameter change to apply
409,low_load_energy_saving_candidate,19,21657,ES,final_noop,no-op decision; no parameter change to apply
410,low_load_energy_saving_candidate,19,21660,ES,final_noop,no-op decision; no parameter change to apply
411,low_load_energy_saving_candidate,19,21663,ES,final_noop,no-op decision; no parameter change to apply
413,low_load_energy_saving_candidate,19,21669,ES,final_noop,no-op decision; no parameter change to apply
414,low_load_energy_saving_candidate,19,21672,ES,final_noop,no-op decision; no parameter change to apply
415,low_load_energy_saving_candidate,19,21675,ES,final_noop,no-op decision; no parameter change to apply
417,low_load_energy_saving_candidate,19,21681,ES,final_noop,no-op decision; no parameter change to apply
418,low_load_energy_saving_candidate,19,21684,ES,final_noop,no-op decision; no parameter change to apply
419,low_load_energy_saving_candidate,19,21687,ES,final_noop,no-op decision; no parameter change to apply
420,low_load_energy_saving_candidate,19,21690,ES,final_noop,no-op decision; no parameter change to apply
422,low_load_energy_saving_candidate,19,21696,ES,final_noop,no-op decision; no parameter change to apply
424,degraded_sector,20,21718,ES,final_noop,no-op decision; no parameter change to apply
425,degraded_sector,20,21721,ES,final_noop,no-op decision; no parameter change to apply
426,outage_sector,20,21830,ES,final_noop,no-op decision; no parameter change to apply
427,outage_sector,20,21833,ES,final_noop,no-op decision; no parameter change to apply
434,handover_stress,1,23217,HO/MRO,rejected_priority_conflict,rejected by Phase 11A priority arbitration
435,handover_stress,1,23395,HO/MRO,rejected_priority_conflict,rejected by Phase 11A priority arbitration
437,handover_stress,1,23751,HO/MRO,rejected_priority_conflict,rejected by Phase 11A priority arbitration
439,handover_stress,1,24107,HO/MRO,rejected_priority_conflict,rejected by Phase 11A priority arbitration
443,handover_stress,1,24819,HO/MRO,rejected_priority_conflict,rejected by Phase 11A priority arbitration
444,handover_stress,1,24997,HO/MRO,rejected_priority_conflict,rejected by Phase 11A priority arbitration
454,handover_stress,2,28913,HO/MRO,rejected_priority_conflict,rejected by Phase 11A priority arbitration
457,handover_stress,2,29447,HO/MRO,rejected_priority_conflict,rejected by Phase 11A priority arbitration
460,handover_stress,2,29981,HO/MRO,rejected_priority_conflict,rejected by Phase 11A priority arbitration
465,overload,2,32283,HO/MRO,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
466,overload,2,32532,HO/MRO,rejected_priority_conflict,rejected by Phase 11A priority arbitration
469,overload,3,35843,HO/MRO,final_noop,no-op decision; no parameter change to apply
475,outage_sector,6,50095,HO/MRO,rejected_priority_conflict,rejected by Phase 11A priority arbitration
481,overload,8,61119,HO/MRO,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
497,handover_stress,13,86822,HO/MRO,rejected_priority_conflict,rejected by Phase 11A priority arbitration
498,handover_stress,13,86941,HO/MRO,rejected_priority_conflict,rejected by Phase 11A priority arbitration
508,mixed_conflict,17,107933,HO/MRO,unresolved_unsafe_fallback,unresolved unsafe fallback; never executable
520,handover_stress,18,110615,HO/MRO,rejected_priority_conflict,rejected by Phase 11A priority arbitration
521,handover_stress,18,110793,HO/MRO,rejected_priority_conflict,rejected by Phase 11A priority arbitration
