oracle_group_id,module_name,scenario_name,realization_id,source_sector_id,selected_action_id_raw,selected_action_id_safe,oracle_action_id,raw_predicted_reward,safe_predicted_reward,raw_true_reward,safe_true_reward,oracle_reward,raw_selected_safety_valid,safe_selected_safety_valid,safety_filter_changed_action,fallback_used,noop_selected,selection_reason,raw_regret,safety_enforced_regret,raw_top1_oracle_match,safe_top1_oracle_match,safe_top2_oracle_match
338,LB/MLB,mixed_conflict,8,1,12511,12509,12509,-0.133796947453386,-0.190747564872329,-0.1338,0,0,0,0,1,1,1,no_safe_action_fallback_noop,0.1338,0,0,1,1
339,LB/MLB,mixed_conflict,8,2,12522,12522,12522,-0.0829446688053345,-0.0829446688053345,0,0,0,0,0,0,1,1,no_safe_action_fallback_noop,0,0,1,1,1
340,LB/MLB,mixed_conflict,8,3,12535,12537,12537,-0.0843229883400741,-0.12707163149806,0,-0.1275,-0.1275,0,1,1,0,0,safe_best_predicted,-0.1275,0,0,1,1
341,LB/MLB,mixed_conflict,8,4,12548,12548,12548,0.000916540394273868,0.000916540394273868,0,0,0,1,1,0,0,1,safe_best_predicted,0,0,1,1,1
342,LB/MLB,mixed_conflict,8,5,12561,12571,12571,-0.0885291372077974,-0.127333731128709,0,-0.127500000000001,-0.127500000000001,0,1,1,0,0,safe_best_predicted,-0.127500000000001,0,0,1,1
343,LB/MLB,mixed_conflict,8,6,12574,12580,12580,-0.0876602655477238,-0.127744189123056,0,-0.1275,-0.1275,0,1,1,0,0,safe_best_predicted,-0.1275,0,0,1,1
344,LB/MLB,mixed_conflict,8,7,12590,12590,12590,0.081441006424472,0.081441006424472,0.0549706298324548,0.0549706298324548,0.0549706298324548,1,1,0,0,0,safe_best_predicted,0,0,1,1,1
345,LB/MLB,mixed_conflict,8,9,12600,12600,12600,-0.0869497109117206,-0.0869497109117206,0,0,0,0,0,0,1,1,no_safe_action_fallback_noop,0,0,1,1,1
346,LB/MLB,mixed_conflict,8,10,12616,12616,12616,-0.0245874445372288,-0.0245874445372288,-0.0226783824449851,-0.0226783824449851,-0.0226783824449851,1,1,0,0,0,safe_best_predicted,0,0,1,1,1
347,LB/MLB,mixed_conflict,8,11,12633,12633,12633,0.0847608633362545,0.0847608633362545,0.0549706298324548,0.0549706298324548,0.0549706298324548,1,1,0,0,0,safe_best_predicted,0,0,1,1,1
348,LB/MLB,mixed_conflict,8,12,12639,12639,12639,-0.0825298667944155,-0.0825298667944155,0,0,0,0,0,0,1,1,no_safe_action_fallback_noop,0,0,1,1,1
349,LB/MLB,mixed_conflict,8,13,12652,12663,12663,-0.0170850404381416,-0.0431503823998806,0,-0.0391649553756275,-0.0391649553756275,0,1,1,0,0,safe_best_predicted,-0.0391649553756275,0,0,1,1
350,LB/MLB,mixed_conflict,8,16,12665,12665,12665,0.000472826695807716,0.000472826695807716,0,0,0,1,1,0,0,1,safe_best_predicted,0,0,1,1,1
351,LB/MLB,mixed_conflict,8,19,12680,12678,12678,-0.13087102383049,-0.263983167167778,-0.1338,0,0,0,0,1,1,1,no_safe_action_fallback_noop,0.1338,0,0,1,1
352,LB/MLB,mixed_conflict,8,20,12693,12697,12697,-0.133730184838854,-0.133730184838854,-0.1338,-0.1338,-0.1338,0,1,1,0,0,safe_best_predicted,0,0,0,1,1
353,LB/MLB,mixed_conflict,8,21,12706,12704,12704,-0.133913905003307,-0.188197093242108,-0.1338,0,0,0,0,1,1,1,no_safe_action_fallback_noop,0.1338,0,0,1,1
445,LB/MLB,degraded_sector,11,8,13900,13900,13900,0.000292647064661065,0.000292647064661065,0,0,0,1,1,0,0,1,safe_best_predicted,0,0,1,1,1
503,LB/MLB,overload,12,3,14654,14664,14664,-0.0805681962651298,-0.127556293125659,0,-0.1275,-0.1275,0,1,1,0,0,safe_best_predicted,-0.1275,0,0,1,1
504,LB/MLB,overload,12,5,14670,14670,14670,0.261110659806264,0.261110659806264,0.26125,0.26125,0.26125,1,1,0,0,0,safe_best_predicted,0,0,1,1,1
505,LB/MLB,overload,12,6,14680,14680,14680,-0.0913246105001162,-0.0913246105001162,0,0,0,0,0,0,1,1,no_safe_action_fallback_noop,0,0,1,1,1
506,LB/MLB,overload,12,7,14705,14705,14705,0.0652227274256475,0.0652227274256475,0.06625,0.06625,0.06625,1,1,0,0,0,safe_best_predicted,0,0,1,1,1
507,LB/MLB,overload,12,8,14708,14706,14706,-0.133470543873788,-0.227134815685069,-0.1338,0,0,0,0,1,1,1,no_safe_action_fallback_noop,0.1338,0,0,1,1
508,LB/MLB,overload,12,9,14719,14719,14719,-0.00510093498157162,-0.00510093498157162,0,0,0,1,1,0,0,1,safe_best_predicted,0,0,1,1,1
509,LB/MLB,overload,12,10,14739,14739,14739,0.000435946635675155,0.000435946635675155,0.00152607602945076,0.00152607602945076,0.00152607602945076,1,1,0,0,0,safe_best_predicted,0,0,1,1,1
510,LB/MLB,overload,12,12,14745,14747,14747,-0.0859215871059888,-0.127368182551012,0,-0.1275,-0.1275,0,1,1,0,0,safe_best_predicted,-0.1275,0,0,1,1
511,LB/MLB,overload,12,13,14760,14760,14760,-0.133762438214124,-0.133762438214124,-0.1338,-0.1338,-0.1338,1,1,0,0,0,safe_best_predicted,0,0,1,1,1
512,LB/MLB,overload,12,14,14771,14781,14781,-0.0825173248761417,-0.127572572231512,0,-0.1275,-0.1275,0,1,1,0,0,safe_best_predicted,-0.1275,0,0,1,1
513,LB/MLB,overload,12,15,14784,14784,14784,0.000196322919066982,0.000196322919066982,0,0,0,1,1,0,0,1,safe_best_predicted,0,0,1,1,1
514,LB/MLB,overload,12,16,14797,14797,14797,-0.0910970828485203,-0.0910970828485203,0,0,0,0,0,0,1,1,no_safe_action_fallback_noop,0,0,1,1,1
