final_decision_id,coordinator_group_id,scenario_name,realization_id,module_name,module_priority,decision_source_sector_id,decision_target_sector_id,source_sector_id,target_sector_id,coordinator_affected_sector_id,application_affected_sector_id,application_state_variable,affected_sector_id,affected_parameter,selected_action_id_safe,accepted_action_type,final_decision_status,executable_flag,not_applied_flag,safety_valid,fallback_used,noop_selected,unresolved_fallback_flag,rejection_reason,conflict_id,conflict_type,final_candidate_rank,predicted_reward,true_reward,safety_enforced_regret,delta_prs_dB,delta_tilt_deg,delta_cio_dB,delta_hom_dB,delta_ttt_ms,es_action
61,18,mixed_conflict,2,LB/MLB,3,19,0,19,0,0,0,none,0,none,9597,no_op,final_noop,0,1,1,0,1,0,,NaN,,0,-0.000943824741368859,0,0,0,0,0,0,0,
62,18,mixed_conflict,2,LB/MLB,3,20,0,20,0,0,0,none,0,none,9610,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.0735336001714354,0,0,0,0,0,0,0,
63,18,mixed_conflict,2,LB/MLB,3,21,19,21,19,21,19,sectors.cio_dB,21,CIO_bias,9625,cio_bias_to_neighbor,rejected_priority_conflict,0,1,1,0,0,0,Both actions write the same simulator state variable on the same application sector.,28,duplicate_application_target_parameter,0,-0.127519582582775,-0.1275,0,0,0,-3,0,0,
64,1,outage_sector,2,LB/MLB,3,17,0,17,0,0,0,none,0,none,9649,no_op,final_noop,0,1,1,0,1,0,,NaN,,0,0.00065109626196729,0,0,0,0,0,0,0,
65,1,outage_sector,2,LB/MLB,3,20,0,20,0,0,0,none,0,none,9662,no_op,final_noop,0,1,1,0,1,0,,NaN,,0,-0.000560897175992863,0,0,0,0,0,0,0,
66,2,degraded_sector,3,LB/MLB,3,1,5,1,5,1,5,sectors.cio_dB,1,CIO_bias,9913,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,1,0.0637207532805646,0.06625,0,0,0,6,0,0,
67,19,mixed_conflict,3,LB/MLB,3,4,0,4,0,0,0,none,0,none,9961,no_op,final_noop,0,1,1,0,1,0,,NaN,,0,0.000442056350905537,0,0,0,0,0,0,0,
68,19,mixed_conflict,3,LB/MLB,3,5,1,5,1,5,1,sectors.cio_dB,5,CIO_bias,9976,cio_bias_to_neighbor,rejected_priority_conflict,0,1,1,0,0,0,Both actions write the same simulator state variable on the same application sector.,30,duplicate_application_target_parameter,0,-0.127538258020841,-0.1275,0,0,0,-3,0,0,
69,19,mixed_conflict,3,LB/MLB,3,6,0,6,0,0,0,none,0,none,9987,no_op,unresolved_unsafe_fallback,0,1,0,1,1,1,,NaN,,0,-0.0792161022490405,0,0,0,0,0,0,0,
70,19,mixed_conflict,3,LB/MLB,3,7,0,7,0,0,0,none,0,none,10000,no_op,final_noop,0,1,1,0,1,0,,NaN,,0,0.000287382305440368,0,0,0,0,0,0,0,
71,19,mixed_conflict,3,LB/MLB,3,8,0,8,0,0,0,none,0,none,10013,no_op,final_noop,0,1,1,0,1,0,,NaN,,0,-0.00207909924192248,0,0,0,0,0,0,0,
72,19,mixed_conflict,3,LB/MLB,3,9,1,9,1,9,1,sectors.cio_dB,9,CIO_bias,10028,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,1,-0.12747584151144,-0.1275,0,0,0,-3,0,0,
73,19,mixed_conflict,3,LB/MLB,3,10,11,10,11,10,11,sectors.cio_dB,10,CIO_bias,10045,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,2,-0.127546003692943,-0.1275,0,0,0,-3,0,0,
74,19,mixed_conflict,3,LB/MLB,3,11,0,11,0,0,0,none,0,none,10052,no_op,final_noop,0,1,1,0,1,0,,NaN,,0,-0.000272303328086349,0,0,0,0,0,0,0,
75,19,mixed_conflict,3,LB/MLB,3,12,2,12,2,12,2,sectors.cio_dB,12,CIO_bias,10068,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,3,0.100880155115219,0.0928114796445559,0,0,0,3,0,0,
76,19,mixed_conflict,3,LB/MLB,3,13,15,13,15,13,15,sectors.cio_dB,13,CIO_bias,10089,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,4,0.245236430681993,0.24652193582895,0,0,0,3,0,0,
77,19,mixed_conflict,3,LB/MLB,3,14,2,14,2,14,2,sectors.cio_dB,14,CIO_bias,10102,cio_bias_to_neighbor,rejected_priority_conflict,0,1,1,0,0,0,Both actions write the same simulator state variable on the same application sector.,31,duplicate_application_target_parameter,0,0.0219405848238794,0.0278065049344035,0,0,0,3,0,0,
78,19,mixed_conflict,3,LB/MLB,3,16,3,16,3,16,3,sectors.cio_dB,16,CIO_bias,10111,cio_bias_to_neighbor,final_safe_action,1,1,1,0,0,0,,NaN,,5,0.261235842424934,0.26125,0,0,0,3,0,0,
