split,scenario_name,metric_name,metric_value,module_name,model_name
test_unsafe,ALL,spearman_rho,0.994854181333673,COC/OH,LSBoost
test_unsafe,ALL,within_0p01,1,COC/OH,LSBoost
test_unsafe,ALL,within_0p05,1,COC/OH,LSBoost
test_unsafe,ALL,within_0p10,1,COC/OH,LSBoost
train,ALL,MAE,0.0598079374999702,LB/MLB,Linear_Ridge
train,ALL,RMSE,0.0832055111664587,LB/MLB,Linear_Ridge
train,ALL,R2,0.651046752064598,LB/MLB,Linear_Ridge
train,ALL,mean_error,-4.95515178336443e-05,LB/MLB,Linear_Ridge
train,ALL,median_absolute_error,0.0453933234930193,LB/MLB,Linear_Ridge
train,ALL,pearson_r,0.806874798440561,LB/MLB,Linear_Ridge
train,ALL,spearman_rho,0.847324978833472,LB/MLB,Linear_Ridge
train,ALL,within_0p01,0.161248374512354,LB/MLB,Linear_Ridge
train,ALL,within_0p05,0.545730385782401,LB/MLB,Linear_Ridge
train,ALL,within_0p10,0.834850455136541,LB/MLB,Linear_Ridge
train,degraded_sector,MAE,0.055786158637211,LB/MLB,Linear_Ridge
train,degraded_sector,RMSE,0.0776261244482153,LB/MLB,Linear_Ridge
train,degraded_sector,R2,0.57998700225126,LB/MLB,Linear_Ridge
train,degraded_sector,mean_error,0.00550893225501791,LB/MLB,Linear_Ridge
train,degraded_sector,median_absolute_error,0.0401199113763086,LB/MLB,Linear_Ridge
train,degraded_sector,pearson_r,0.775759962165895,LB/MLB,Linear_Ridge
train,degraded_sector,spearman_rho,0.741647312721844,LB/MLB,Linear_Ridge
train,degraded_sector,within_0p01,0.130653266331658,LB/MLB,Linear_Ridge
train,degraded_sector,within_0p05,0.608040201005025,LB/MLB,Linear_Ridge
train,degraded_sector,within_0p10,0.864321608040201,LB/MLB,Linear_Ridge
train,handover_stress,MAE,0.0543365787468727,LB/MLB,Linear_Ridge
train,handover_stress,RMSE,0.0759209370667412,LB/MLB,Linear_Ridge
train,handover_stress,R2,0.548574059702946,LB/MLB,Linear_Ridge
train,handover_stress,mean_error,0.00543964655509744,LB/MLB,Linear_Ridge
train,handover_stress,median_absolute_error,0.0377821071656678,LB/MLB,Linear_Ridge
train,handover_stress,pearson_r,0.771115537456429,LB/MLB,Linear_Ridge
train,handover_stress,spearman_rho,0.785799089531047,LB/MLB,Linear_Ridge
train,handover_stress,within_0p01,0.164222873900293,LB/MLB,Linear_Ridge
train,handover_stress,within_0p05,0.607038123167155,LB/MLB,Linear_Ridge
train,handover_stress,within_0p10,0.847507331378299,LB/MLB,Linear_Ridge
train,mixed_conflict,MAE,0.0664148620925989,LB/MLB,Linear_Ridge
train,mixed_conflict,RMSE,0.0926226691263586,LB/MLB,Linear_Ridge
train,mixed_conflict,R2,0.642014753064454,LB/MLB,Linear_Ridge
train,mixed_conflict,mean_error,0.00225682038889594,LB/MLB,Linear_Ridge
train,mixed_conflict,median_absolute_error,0.0539649121313311,LB/MLB,Linear_Ridge
train,mixed_conflict,pearson_r,0.802992279689164,LB/MLB,Linear_Ridge
train,mixed_conflict,spearman_rho,0.833829558136693,LB/MLB,Linear_Ridge
train,mixed_conflict,within_0p01,0.18169014084507,LB/MLB,Linear_Ridge
train,mixed_conflict,within_0p05,0.467605633802817,LB/MLB,Linear_Ridge
train,mixed_conflict,within_0p10,0.809859154929577,LB/MLB,Linear_Ridge
train,normal,MAE,0.0546599900201523,LB/MLB,Linear_Ridge
train,normal,RMSE,0.0741010733360031,LB/MLB,Linear_Ridge
train,normal,R2,0.667546632682286,LB/MLB,Linear_Ridge
train,normal,mean_error,-0.00386651347180556,LB/MLB,Linear_Ridge
train,normal,median_absolute_error,0.0425944312104452,LB/MLB,Linear_Ridge
train,normal,pearson_r,0.818853544359578,LB/MLB,Linear_Ridge
train,normal,spearman_rho,0.786035087937971,LB/MLB,Linear_Ridge
train,normal,within_0p01,0.117647058823529,LB/MLB,Linear_Ridge
train,normal,within_0p05,0.611764705882353,LB/MLB,Linear_Ridge
train,normal,within_0p10,0.852941176470588,LB/MLB,Linear_Ridge
train,outage_sector,MAE,0.0528018406392411,LB/MLB,Linear_Ridge
train,outage_sector,RMSE,0.073142908785176,LB/MLB,Linear_Ridge
train,outage_sector,R2,0.650239819878723,LB/MLB,Linear_Ridge
train,outage_sector,mean_error,0.00157532478093173,LB/MLB,Linear_Ridge
train,outage_sector,median_absolute_error,0.039165108449583,LB/MLB,Linear_Ridge
train,outage_sector,pearson_r,0.810770185905344,LB/MLB,Linear_Ridge
train,outage_sector,spearman_rho,0.80619941942073,LB/MLB,Linear_Ridge
train,outage_sector,within_0p01,0.173553719008264,LB/MLB,Linear_Ridge
train,outage_sector,within_0p05,0.644628099173554,LB/MLB,Linear_Ridge
train,outage_sector,within_0p10,0.847107438016529,LB/MLB,Linear_Ridge
train,overload,MAE,0.0606541039799615,LB/MLB,Linear_Ridge
train,overload,RMSE,0.083414239729479,LB/MLB,Linear_Ridge
train,overload,R2,0.700596174318827,LB/MLB,Linear_Ridge
train,overload,mean_error,-0.00680895523809869,LB/MLB,Linear_Ridge
train,overload,median_absolute_error,0.0478643884585529,LB/MLB,Linear_Ridge
train,overload,pearson_r,0.843272007289932,LB/MLB,Linear_Ridge
train,overload,spearman_rho,0.877578540616105,LB/MLB,Linear_Ridge
train,overload,within_0p01,0.153488372093023,LB/MLB,Linear_Ridge
train,overload,within_0p05,0.525581395348837,LB/MLB,Linear_Ridge
