oracle_group_id,scenario_name,realization_id,source_sector_id,module_name,selected_action_id,selected_action_type,target_sector_id,reward,safety_valid,oracle_selection_reason,is_noop,delta_prs_dB,delta_tilt_deg,delta_cio_dB,delta_hom_dB,delta_ttt_ms,es_action,pre_source_load_ratio,post_source_load_ratio,pre_source_RSRP_dBm,post_source_RSRP_dBm,pre_source_SINR_dB,post_source_SINR_dB,pre_source_qos_satisfaction_ratio,post_source_qos_satisfaction_ratio,pre_source_attach_rate,post_source_attach_rate,pre_source_handover_risk_score,post_source_handover_risk_score
330,overload,7,16,LB/MLB,12405,no_op,0,0,0,no_safe_action_available,1,0,0,0,0,0,,1.25873021266664,1.25873021266664,-85.8341112397424,-85.8341112397424,7.58027826357973,7.58027826357973,0,0,0.958333333333333,0.958333333333333,0.304347826086957,0.304347826086957
331,overload,7,17,LB/MLB,12428,cio_bias_to_neighbor,12,-0.1275,1,safe_best_reward,0,0,0,-3,0,0,,1.81071737530008,1.82571737530008,-86.5319527569742,-86.5319527569742,10.2224905467944,10.2224905467944,0,0,1,1,0.193548387096774,0.193548387096774
332,overload,7,18,LB/MLB,12431,no_op,0,0,0,no_safe_action_available,1,0,0,0,0,0,,1.28167153647333,1.28167153647333,-91.0834198146468,-91.0834198146468,9.3709710399447,9.3709710399447,0,0,0.958333333333333,0.958333333333333,0.0869565217391304,0.0869565217391304
333,overload,7,19,LB/MLB,12451,cio_bias_to_neighbor,21,0.26125,1,safe_best_reward,0,0,0,3,0,0,,1.36811358022544,1.11811358022544,-91.0338329006734,-91.0338329006734,5.27733495204384,5.23983495204384,0,0.0875,1,1,0.157894736842105,0.157894736842105
334,overload,7,20,LB/MLB,12468,cio_bias_to_neighbor,21,-0.0314316812020643,1,safe_best_reward,0,0,0,3,0,0,,0.918920444259768,0.859460222129884,-88.1315308463609,-88.1315308463609,5.43354521433232,5.42462618101284,1,1,1,1,0.4,0.4
335,degraded_sector,8,20,LB/MLB,12470,no_op,0,0,1,safe_best_reward,1,0,0,0,0,0,,0.810812577349843,0.810812577349843,-86.9174989270535,-86.9174989270535,6.79478293613947,6.79478293613947,1,1,0.961538461538462,0.961538461538462,0.28,0.28
336,handover_stress,8,10,LB/MLB,12483,no_op,0,0,1,safe_best_reward,1,0,0,0,0,0,,0.866761293690209,0.866761293690209,-89.6658597968687,-89.6658597968687,5.51694405898494,5.51694405898494,1,1,1,1,0.44,0.44
337,handover_stress,8,17,LB/MLB,12496,no_op,0,0,1,safe_best_reward,1,0,0,0,0,0,,0.81685239048444,0.81685239048444,-89.4466043239754,-89.4466043239754,5.74283282388304,5.74283282388304,1,1,1,1,0.45,0.45
338,mixed_conflict,8,1,LB/MLB,12509,no_op,0,0,0,no_safe_action_available,1,0,0,0,0,0,,1.18953596910219,1.18953596910219,-86.1872077652372,-86.1872077652372,8.29423341344843,8.29423341344843,1,1,0.96,0.96,0.125,0.125
339,mixed_conflict,8,2,LB/MLB,12522,no_op,0,0,0,no_safe_action_available,1,0,0,0,0,0,,1.6856624218886,1.6856624218886,-87.6043982207229,-87.6043982207229,5.31450237840765,5.31450237840765,0,0,1,1,0.4,0.4
340,mixed_conflict,8,3,LB/MLB,12537,cio_bias_to_neighbor,16,-0.1275,1,safe_best_reward,0,0,0,-3,0,0,,1.54588191382801,1.56088191382801,-86.9141915636334,-86.9141915636334,6.52770430174183,6.52770430174183,0,0,1,1,0.333333333333333,0.333333333333333
