num_sites,num_sectors,num_ues,attached_ues,unattached_ues,attach_rate,active_ues,active_attached_ues,active_attach_rate,coverage_ratio,sinr_threshold_ratio,total_offered_traffic_Mbps,total_served_traffic_Mbps,total_unserved_traffic_Mbps,mean_ue_throughput_Mbps,median_ue_throughput_Mbps,qos_satisfied_ues,qos_satisfaction_ratio,overloaded_sector_count,mean_sector_load,max_sector_load,jain_fairness_index,scenario_name,realization_id,phase_tag
7,21,500,465,35,0.93,75,68,0.906666666666667,0.93,0.932,340.545800967001,319.69854820832,20.8472527586808,0.639397096416639,0,68,0.906666666666667,2,0.427624750553428,0.991991942122845,0.114607872839497,handover_stress,4,post
7,21,500,469,31,0.938,75,68,0.906666666666667,0.938,0.946,343.829237874552,307.428732020732,36.4005058538199,0.614857464041464,0,68,0.906666666666667,3,0.398469833936459,1.20910193992162,0.11316778408579,handover_stress,5,pre
7,21,500,460,40,0.92,75,68,0.906666666666667,0.92,0.926,343.829237874552,307.428732020732,36.4005058538199,0.614857464041464,0,68,0.906666666666667,3,0.392438101708596,1.20910193992162,0.11316778408579,handover_stress,5,post
7,21,500,486,14,0.972,75,74,0.986666666666667,0.972,0.984,358.715581209011,338.604016847306,20.1115643617058,0.677208033694611,0,66,0.88,1,0.406674271275824,1.42888903044509,0.128186058750404,outage_sector,5,pre
7,21,500,486,14,0.972,75,74,0.986666666666667,0.972,0.984,358.715581209011,338.604016847306,20.1115643617058,0.677208033694611,0,66,0.88,1,0.406674271275824,1.42888903044509,0.128186058750404,outage_sector,5,post
7,21,500,489,11,0.978,75,75,1,0.978,0.984,362.05850891662,362.05850891662,0,0.724117017833241,0,75,1,3,0.424129954390029,0.921736571926938,0.128197553311018,degraded_sector,6,pre
7,21,500,486,14,0.972,75,74,0.986666666666667,0.972,0.978,362.05850891662,360.715995857186,1.34251305943463,0.721431991714372,0,74,0.986666666666667,3,0.418893029556261,0.883652966861406,0.12736084733535,degraded_sector,6,post
7,21,500,488,12,0.976,75,72,0.96,0.976,0.984,335.729751369537,324.685086305735,11.0446650638023,0.649370172611469,0,72,0.96,2,0.358178326910566,0.936102049154958,0.121285061229927,outage_sector,6,pre
7,21,500,484,16,0.968,75,71,0.946666666666667,0.968,0.976,335.729751369537,320.117773222904,15.6119781466331,0.640235546445808,0,71,0.946666666666667,1,0.349273709112971,0.829301304006688,0.119328772899009,outage_sector,6,post
7,21,500,484,16,0.968,150,144,0.96,0.968,0.982,1087.76819643245,788.371821929062,299.396374503391,1.57674364385812,0,74,0.493333333333333,16,1.20001074818317,2.81041827819972,0.24763293866288,mixed_conflict,8,pre
7,21,500,474,26,0.948,150,142,0.946666666666667,0.948,0.962,1087.76819643245,758.488404446003,329.27979198645,1.51697680889201,0,65,0.433333333333333,13,1.18186746287511,2.99175827155275,0.242034136778322,mixed_conflict,8,post
7,21,500,490,10,0.98,150,147,0.98,0.98,0.984,1084.1724374724,800.713998269043,283.45843920336,1.60142799653809,0,67,0.446666666666667,16,1.23276928081428,2.27878357732757,0.244665276906151,overload,12,pre
7,21,500,485,15,0.97,150,146,0.973333333333333,0.97,0.97,1084.1724374724,813.324966529097,270.847470943306,1.62664993305819,0,76,0.506666666666667,16,1.2115843225847,2.08703239111494,0.247679679078553,overload,12,post
